,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold
2017-07-28 00:00:00+00:00,2516.638204398001,2202.4057642722014,58.0461771503724,50.407267268112236,77.1186335939251,41.73329805712744,35.385335536797655,60.80921623456494,57.140096669822505,1,1,0,0,0,0
2017-07-29 00:00:00+00:00,2514.712763271601,2216.5375410754014,55.694947752148515,51.522954289314086,80.72851662400035,49.53234177050202,31.196174853498327,65.85999635991371,60.87090891836132,1,1,0,0,0,0
2017-07-30 00:00:00+00:00,2513.5363589112008,2230.787541095401,56.5903511497318,53.16501795903795,85.2830145367493,56.68247632375148,28.600538212997826,70.3867740094835,65.68532886798737,1,1,0,0,0,0
2017-07-31 00:00:00+00:00,2511.894358911201,2245.8775410954013,59.31322624885625,55.07784435611995,96.01621912893961,64.54922488478911,31.4669942441505,72.09143474631654,69.44606837190456,1,1,0,0,0,0
2017-08-01 00:00:00+00:00,2515.203009923201,2259.720432256401,54.996607683690016,55.748955162137456,93.87685036089579,70.41474998001044,23.462100380885346,68.81739664709218,70.43186846763072,1,1,0,0,0,0
2017-08-02 00:00:00+00:00,2515.647515987601,2273.236442151301,53.66637397178786,56.132009507053795,88.1408133559512,73.9599626551986,14.1808507007526,65.49975754272432,68.80286297871099,1,1,0,0,0,0
2017-08-03 00:00:00+00:00,2523.8097017904006,2287.472342150701,56.56104195445801,56.82514394191277,90.2916582813541,77.2263017804297,13.065356500924409,62.904186423137595,65.74044687098468,1,1,0,0,0,0
2017-08-04 00:00:00+00:00,2533.5902222140007,2302.116158892801,58.5425291381792,56.4928208206528,96.38190238608422,81.0574219015606,15.324480484523619,63.15672895817038,63.85355764134408,1,1,0,0,0,0
2017-08-05 00:00:00+00:00,2550.0209553328004,2320.2877153125014,67.7069519400096,57.18189343915863,131.44753181017722,91.13544388328393,40.3120879268933,63.06635341275993,63.04242293135595,1,1,0,0,0,0
2017-08-06 00:00:00+00:00,2562.4580014172006,2338.4447153120013,66.59756665669603,57.53629105832926,155.22596940511949,103.95354898765103,51.27242041746845,63.69135682424168,63.30481306505732,1,1,0,0,0,0
2017-08-07 00:00:00+00:00,2580.5165760806008,2358.150707478101,69.8130612928142,58.308350810738744,185.34725428018692,120.23229004615821,65.1149642340287,64.94246734184615,63.90005919294924,1,1,0,0,0,0
2017-08-08 00:00:00+00:00,2596.975634175401,2377.8598097390013,70.01449236409667,59.06611822399167,207.6935784833854,137.72454773360366,69.96903074978175,69.19155515198919,65.94179310602567,1,1,0,0,0,0
2017-08-09 00:00:00+00:00,2610.3023544898006,2395.9031699264015,66.81978352415666,60.03474316610177,217.11771912836002,153.60318201255492,63.5145371158051,72.90414218220212,69.01272155867916,1,1,0,0,0,0
2017-08-10 00:00:00+00:00,2626.219676354601,2414.4427608588016,68.57649161622919,61.198060670654904,228.53085270994052,168.58871615203205,59.94213655790847,74.67106237769187,72.25558657062773,1,1,0,0,0,0
2017-08-11 00:00:00+00:00,2645.578890956801,2434.6999318584017,72.85649286493678,62.38640635387761,252.85471741881474,185.44191640538858,67.41280101342616,75.0479163568375,74.20770697224383,1,1,0,0,0,0
2017-08-12 00:00:00+00:00,2669.448890957201,2457.2959461424016,76.28412283573523,63.60226939956847,286.7527377219062,205.70408066869211,81.0486570532141,76.17364179048819,75.29754017500585,1,1,0,0,0,0
2017-08-13 00:00:00+00:00,2700.411650187801,2482.364447809902,78.73307745550943,65.13814471312587,325.04990191536035,229.57324491802575,95.4766569973346,76.22503067259677,75.81552960664082,1,1,0,0,0,0
2017-08-14 00:00:00+00:00,2737.0321629800005,2509.4916696430014,81.55974141147804,66.80277073057562,372.03606871256443,258.0658096769335,113.97025903563093,76.63944547178342,76.34603931162279,1,1,0,0,0,0
2017-08-15 00:00:00+00:00,2772.106384581601,2534.7801696430015,74.86775483776194,67.83973930316932,391.6915319436207,284.79095413027096,106.90057781334974,79.14169768542895,77.33539127660303,1,1,0,0,0,0
2017-08-16 00:00:00+00:00,2809.5263845814006,2561.533426101001,77.69193176923628,69.35276090887241,421.1345127427262,312.059665852762,109.07484688996419,84.06085815546318,79.94733377089183,1,1,1,0,0,0
2017-08-17 00:00:00+00:00,2844.5063845812006,2586.5682867032015,73.15120117656639,70.651749389191,429.9102439936182,335.6297814809333,94.28046251268495,84.90355263086782,82.7020361572533,1,1,1,0,0,0
2017-08-18 00:00:00+00:00,2876.9368901174003,2609.4682867035012,67.05129501057189,71.35109959293192,418.1657571503729,352.1369766148212,66.02878053555168,82.57657744609483,83.84699607747527,1,1,0,0,0,0
2017-08-19 00:00:00+00:00,2911.2236623654003,2632.2728483785013,67.8568362649202,71.97205340138132,408.0278742144924,363.31515613475545,44.71271807973693,79.91641605278032,82.46551537658098,1,1,0,0,0,0
2017-08-20 00:00:00+00:00,2945.7897975246,2655.664277334801,65.58500147645083,71.83059003714406,390.397521989692,368.7316293057428,21.66589268394921,75.92299823119889,79.47199724335802,1,1,0,0,0,0
2017-08-21 00:00:00+00:00,2976.8985310047997,2677.3824563779012,62.69118918562317,71.57016487240588,365.6860900182419,368.1225214482426,-2.4364314300007095,70.21248289317747,75.35063239238555,1,0,0,0,0,0
2017-08-22 00:00:00+00:00,3007.4597288227997,2699.7676323779015,64.1759199912994,71.1943554523049,347.7832542537358,364.05466800934124,-16.271413755605465,68.20266352610075,71.4460482168257,1,0,0,0,0,0
2017-08-23 00:00:00+00:00,3038.5797288227996,2723.4166491448013,65.66743902197246,70.90455189616328,335.49577376298294,358.3428891600696,-22.847115397086668,68.61602762478023,69.01039134801947,1,0,0,0,0,0
2017-08-24 00:00:00+00:00,3073.0177163341996,2748.7566434278015,69.23717364676469,71.06571123767048,336.8033058687124,354.03497250179817,-17.23166663308575,69.56399875078004,68.79422996722035,1,0,0,0,0,0
2017-08-25 00:00:00+00:00,3108.2588021803995,2773.5466434375016,69.80376063911994,71.14752917252987,336.46249142985425,350.5204762874094,-14.057984857555141,69.19702466604285,69.12568368053438,1,0,0,0,0,0
2017-08-26 00:00:00+00:00,3145.8947241603996,2797.6746964461017,69.86064739114687,70.94780614094388,332.5964687464202,346.9356747792116,-14.339206032791367,69.2338609126964,69.33162810983977,1,0,0,0,0,0
2017-08-27 00:00:00+00:00,3181.3944591647996,2821.247289274502,68.41657342483302,70.42330284688373,323.32899809716037,342.21433944280136,-18.885341345640995,68.50115412391861,68.97734656755263,1,0,0,0,0,0
2017-08-28 00:00:00+00:00,3219.5281643978,2844.3052892876017,69.63964753304363,69.81707418538602,316.8140968742114,337.13429092908336,-20.32019405487199,67.08119945352216,68.2720714967124,1,0,0,0,0,0
2017-08-29 00:00:00+00:00,3265.0400044284006,2869.9512093039016,73.87306025097043,69.30462877468553,325.3135892241612,334.77015058809894,-9.456561363937737,68.20164424701491,67.92799927481857,1,0,0,0,0,0
2017-08-30 00:00:00+00:00,3310.8280431332005,2894.785183889401,72.74946689098046,69.16340957823341,326.4949534258121,333.11511115564156,-6.62015772982943,67.44693055825316,67.57659141959675,1,0,0,0,0,0
2017-08-31 00:00:00+00:00,3357.6126376360003,2919.4877815715013,75.3303582442902,69.00597134323701,335.0080554323954,333.4937000109923,1.5143554214030814,69.33753057542131,68.32870179356313,1,1,0,0,0,0
2017-09-01 00:00:00+00:00,3409.0472948046004,2944.5299368840015,78.2123746281936,69.34338290667883,352.5258290486936,337.3001258185326,15.225703230161002,73.2473044413107,70.01058852499506,1,1,0,0,0,0
2017-09-02 00:00:00+00:00,3455.1291488012007,2967.529936883702,61.7691485100854,68.99123980664639,331.2018530250107,336.0804712598282,-4.878618234817509,71.57692539141594,71.38725346938266,1,0,0,0,0,0
2017-09-03 00:00:00+00:00,3507.603749801201,2992.233957955302,63.69680396845517,68.71390432021538,317.9982649377944,332.4640299954214,-14.465765057627038,72.66876484650945,72.4976648930787,1,0,0,0,0,0
2017-09-04 00:00:00+00:00,3553.265749802601,3014.596297955002,51.640965311776256,67.78430190923707,272.74065472453094,320.5193549412433,-47.778700216712366,73.07344735878863,72.43971253223802,1,0,0,0,0,0
2017-09-05 00:00:00+00:00,3596.521918481201,3037.8848772939023,55.71350181410154,67.31912275113562,248.29055991682344,306.0735959363593,-57.78303601953587,71.94552334275717,72.56257851601843,1,0,0,0,0,0
2017-09-06 00:00:00+00:00,3642.3020917954004,3061.7049639468023,59.88779632454834,67.0332478400189,242.50275982398216,293.35942871388386,-50.8566688899017,70.71177808173623,71.91024959442736,1,0,0,0,0,0
2017-09-07 00:00:00+00:00,3689.5755034490007,3086.441669770802,60.37630655065674,66.68050567526453,237.17192681535835,282.12192833417873,-44.950001518820386,70.1098297074354,70.92237704397628,1,0,0,0,0,0
